BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
TQBR,2022-12-19,Сбербанк,SBER,114359,7922461200.5,135.13,132.86,136.73,135.57,134.67,134.64,58826130,134.62,134.62,135.57,7159126301.7,7159126301.7,7159126301.7,0,3,SUR,-0.6
SMAL,2022-12-20,Сбербанк,SBER,23,11537.31,133.31,133.11,137.97,,136.95,137.97,85,,,,0.0,0.0,0.0,0,3,SUR,2.48
TQBR,2022-12-20,Сбербанк,SBER,88250,6164921383.7,134.51,134.41,138.4,137.45,136.95,138.28,45017120,136.82,136.82,137.45,5258962348.5,5258962348.5,5258962348.5,0,3,SUR,2.7
SMAL,2022-12-21,Сбербанк,SBER,11,3568.96,137.5,136.12,138.84,,137.74,137.96,26,,,,0.0,0.0,0.0,0,3,SUR,-0.01
TQBR,2022-12-21,Сбербанк,SBER,91276,6272681336.7,138.7,135.81,139.12,137.29,137.74,137.75,45542340,137.77,137.77,137.29,5753624010.8,5753624010.8,5753624010.8,0,3,SUR,-0.38
SMAL,2022-12-22,Сбербанк,SBER,124,55513.88,137.08,135.59,138.91,,138.07,138.91,408,,,,0.0,0.0,0.0,0,3,SUR,0.69
TQBR,2022-12-22,Сбербанк,SBER,69031,4219452712.4,137.99,137.0,138.97,137.86,138.07,137.69,30562140,138.1,138.1,137.86,3826989490.8,3826989490.8,3826989490.8,0,3,SUR,-0.04
SMAL,2022-12-23,Сбербанк,SBER,39,14932.8,134.62,134.62,139.52,,137.56,137.94,109,,,,0.0,0.0,0.0,0,3,SUR,-0.7
TQBR,2022-12-23,Сбербанк,SBER,53883,3151110861.8,137.49,136.81,138.26,137.89,137.56,137.94,22908110,137.53,137.53,137.89,2831913638.4,2831913638.4,2831913638.4,0,3,SUR,0.18
SMAL,2022-12-26,Сбербанк,SBER,36,15031.88,138.43,136.87,140.77,,139.99,139.86,108,,,,0.0,0.0,0.0,0,3,SUR,1.39
TQBR,2022-12-26,Сбербанк,SBER,103692,6912819148.3,138.33,138.0,141.0,140.68,139.99,140.95,49379370,139.93,139.93,140.68,6386972346.2,6386972346.2,6386972346.2,0,3,SUR,2.18
SMAL,2022-12-27,Сбербанк,SBER,58,19148.35,140.0,139.08,143.44,,140.83,140.29,137,,,,0.0,0.0,0.0,0,3,SUR,0.31
TQBR,2022-12-27,Сбербанк,SBER,94202,5856965521.6,141.31,139.6,142.0,140.3,140.83,139.9,41654530,140.7,140.7,140.3,5094482669.1,5094482669.1,5094482669.1,0,3,SUR,-0.74
