,BOARDID,TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,ADMITTEDQUOTE,ADMITTEDVALUE,TRENDCLSPR
1190,TQBR,2023-05-17,SBER,76969,7300922562.3,229.86,228.75,230.97,229.8,230.55,31770380,,,-0.03
1192,TQBR,2023-05-18,SBER,122382,13063333221.1,231.7,230.72,234.49,232.32,231.7,56228190,,,0.5
1194,TQBR,2023-05-19,SBER,79816,7309847108.3,230.99,229.81,232.3,231.03,231.27,31639980,,,-0.19
1196,TQBR,2023-05-22,SBER,113577,6122461335.3,232.2,230.0,232.78,231.15,231.0,26487190,,,-0.12
1198,TQBR,2023-05-23,SBER,125819,14730893977.2,231.25,230.21,237.29,233.78,236.43,63010540,,,2.35
1200,TQBR,2023-05-24,SBER,173024,20714536176.6,237.49,236.26,246.13,240.86,246.06,86011970,,,4.07
1202,TQBR,2023-05-25,SBER,152798,17342598158.4,246.1,242.65,247.4,244.66,243.76,70882360,,,-0.93
1204,TQBR,2023-05-26,SBER,150126,17064289810.3,243.45,242.81,249.64,246.58,248.1,69202730,,,1.78
1206,TQBR,2023-05-29,SBER,133878,17017721478.8,249.78,248.85,252.59,250.27,251.18,67999610,,,1.24
1208,TQBR,2023-05-30,SBER,153572,20681901312.6,248.84,243.8,250.85,247.59,244.65,83533260,,,-2.6
1210,TQBR,2023-05-31,SBER,180151,17794062792.6,244.0,240.27,247.18,244.05,246.17,72912500,,,0.62
1212,TQBR,2023-06-01,SBER,160823,12670513593.5,247.0,240.57,247.0,243.45,241.66,52046910,,,-1.83
1214,TQBR,2023-06-02,SBER,126194,11331232122.6,242.0,240.77,245.5,243.46,243.95,46542940,,,0.95
1216,TQBR,2023-06-05,SBER,174382,18897132269.5,243.51,235.1,244.15,240.02,237.12,78742190,,,-2.8
1218,TQBR,2023-06-06,SBER,233623,23816658058.8,235.92,232.54,242.1,236.65,240.91,100640180,,,1.6
1220,TQBR,2023-06-07,SBER,140235,15268682081.7,241.2,238.56,244.39,241.86,241.25,63130930,,,0.14
1222,TQBR,2023-06-08,SBER,76070,7222971807.9,241.3,239.55,242.78,241.21,241.77,29945470,,,0.22
1224,TQBR,2023-06-09,SBER,77108,6659895379.3,242.8,240.11,243.0,241.57,240.4,27569100,,,-0.57
1226,TQBR,2023-06-13,SBER,97120,9863948131.0,241.51,240.63,244.5,243.24,244.33,40551890,,,1.63
1228,TQBR,2023-06-14,SBER,110642,12822239153.4,245.7,242.8,247.68,245.61,244.6,52205640,,,0.11
1230,TQBR,2023-06-15,SBER,99607,9807475223.8,245.11,243.22,245.94,244.8,245.18,40063590,,,0.24
